,,,,,,,,,,,,,,,
PROCESSO Nº,,,,,ASSUNTO,,,,,,,,,,
,,,,,,,,,,,,,,,
REQUISITANTE,,,,,,DA ELABORAÇÃO DO MAPA,,,,,,,,,
ÓRGÃO,,,,,,RESPONSÁVEIS PELO ORÇAMENTO,,,,,,,,,
SETOR,,,,,,ANALISTAS RESPONSÁVEIS,,,,,,,,,
TELEFONE,,,,,,DATA DA LICITAÇÃO,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,QUANT.,UNID.,"CÓDIGO
(CATMAT/
CATSER)","DESCRIÇÃO SUMÁRIA DO
PRODUTO/SERVIÇO","ORÇAMENTO EMPRESA E0001
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0002
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0003
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0004
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0005
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0006
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0007
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0008
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0009
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0010
PREÇO UNITÁRIO (R$)","ORÇAMENTO DA LICITAÇÃO
PREÇO UNITÁRIO (R$)"
9,150,Packs,,,R$17.00 ,R$39.00 ,R$34.00 ,R$1.00 ,R$7.00 ,R$25.00 ,R$27.00 ,R$30.00 ,R$1.00 ,R$31.00 ,R$27.00 
10,20,Pneus,,,R$21.00 ,R$1.00 ,R$11.00 ,R$36.00 ,R$37.00 ,R$22.00 ,R$36.00 ,R$26.00 ,R$28.00 ,R$14.00 ,R$1.00 
11,100,Caixas,,,R$22.00 ,R$17.00 ,R$27.00 ,R$2.00 ,R$8.00 ,R$31.00 ,R$7.00 ,R$30.00 ,R$20.00 ,R$17.00 ,R$22.00 
12,200,Packs,,,R$40.00 ,R$5.00 ,R$5.00 ,R$8.00 ,R$26.00 ,R$32.00 ,R$40.00 ,R$33.00 ,R$13.00 ,R$8.00 ,R$21.00 
13,250,Litros,,,R$7.00 ,R$25.00 ,R$14.00 ,R$6.00 ,R$4.00 ,R$31.00 ,R$26.00 ,R$29.00 ,R$1.00 ,R$34.00 ,R$20.00 
14,150,Packs,,,R$36.00 ,R$9.00 ,R$22.00 ,R$8.00 ,R$2.00 ,R$30.00 ,R$1.00 ,R$14.00 ,R$19.00 ,R$15.00 ,R$19.00 
15,20,Pneus,,,R$10.00 ,R$20.00 ,R$39.00 ,R$1.00 ,R$9.00 ,R$34.00 ,R$11.00 ,R$40.00 ,R$36.00 ,R$25.00 ,R$25.00 
16,100,Caixas,,,R$18.00 ,R$5.00 ,R$33.00 ,R$14.00 ,R$9.00 ,R$24.00 ,R$2.00 ,R$25.00 ,R$11.00 ,R$28.00 ,R$15.00 
17,200,Packs,,,R$34.00 ,R$36.00 ,R$23.00 ,R$27.00 ,R$19.00 ,R$16.00 ,R$37.00 ,R$37.00 ,R$8.00 ,R$14.00 ,R$19.00 
18,250,Litros,,,R$38.00 ,R$11.00 ,R$18.00 ,R$1.00 ,R$18.00 ,R$6.00 ,R$10.00 ,R$38.00 ,R$20.00 ,R$35.00 ,R$12.00 
19,150,Packs,,,R$23.00 ,R$30.00 ,R$12.00 ,R$22.00 ,R$9.00 ,R$7.00 ,R$8.00 ,R$15.00 ,R$23.00 ,R$6.00 ,R$29.00 
20,20,Pneus,,,R$31.00 ,R$14.00 ,R$13.00 ,R$3.00 ,R$34.00 ,R$39.00 ,R$31.00 ,R$38.00 ,R$37.00 ,R$10.00 ,R$19.00 
21,100,Caixas,,,R$6.00 ,R$12.00 ,R$18.00 ,R$40.00 ,R$15.00 ,R$2.00 ,R$16.00 ,R$16.00 ,R$31.00 ,R$5.00 ,R$25.00 
22,200,Packs,,,R$10.00 ,R$28.00 ,R$36.00 ,R$13.00 ,R$27.00 ,R$11.00 ,R$14.00 ,R$13.00 ,R$39.00 ,R$7.00 ,R$25.00 
23,250,Litros,,,R$22.00 ,R$16.00 ,R$25.00 ,R$35.00 ,R$30.00 ,R$29.00 ,R$35.00 ,R$18.00 ,R$7.00 ,R$21.00 ,R$25.00 
24,150,Packs,,,R$13.00 ,R$11.00 ,R$8.00 ,R$17.00 ,R$40.00 ,R$11.00 ,R$34.00 ,R$12.00 ,R$26.00 ,R$9.00 ,R$25.00 
25,20,Pneus,,,R$5.00 ,R$21.00 ,R$32.00 ,R$4.00 ,R$27.00 ,R$33.00 ,R$21.00 ,R$39.00 ,R$21.00 ,R$32.00 ,R$26.00 
26,100,Caixas,,,R$15.00 ,R$28.00 ,R$18.00 ,R$24.00 ,R$38.00 ,R$10.00 ,R$30.00 ,R$19.00 ,R$39.00 ,R$28.00 ,R$30.00 
27,200,Packs,,,R$39.00 ,R$16.00 ,R$20.00 ,R$38.00 ,R$9.00 ,R$37.00 ,R$26.00 ,R$30.00 ,R$29.00 ,R$39.00 ,R$4.00 
28,250,Litros,,,R$32.00 ,R$10.00 ,R$9.00 ,R$31.00 ,R$7.00 ,R$9.00 ,R$27.00 ,R$23.00 ,R$24.00 ,R$33.00 ,R$34.00 
29,150,Packs,,,R$35.00 ,R$35.00 ,R$36.00 ,R$27.00 ,R$33.00 ,R$34.00 ,R$38.00 ,R$24.00 ,R$18.00 ,R$12.00 ,R$29.00 
30,20,Pneus,,,R$21.00 ,R$35.00 ,R$20.00 ,R$17.00 ,R$22.00 ,R$26.00 ,R$34.00 ,R$9.00 ,R$39.00 ,R$21.00 ,R$35.00 
31,100,Caixas,,,R$31.00 ,R$35.00 ,R$20.00 ,R$9.00 ,R$35.00 ,R$35.00 ,R$8.00 ,R$39.00 ,R$36.00 ,R$26.00 ,R$13.00 
32,200,Packs,,,R$5.00 ,R$34.00 ,R$38.00 ,R$23.00 ,R$1.00 ,R$9.00 ,R$9.00 ,R$30.00 ,R$22.00 ,R$3.00 ,R$10.00 
33,250,Litros,,,R$15.00 ,R$22.00 ,R$35.00 ,R$33.00 ,R$5.00 ,R$25.00 ,R$5.00 ,R$27.00 ,R$15.00 ,R$1.00 ,R$30.00 
34,150,Packs,,,R$29.00 ,R$36.00 ,R$2.00 ,R$16.00 ,R$23.00 ,R$16.00 ,R$29.00 ,R$31.00 ,R$16.00 ,R$39.00 ,R$21.00 
35,20,Pneus,,,R$31.00 ,R$24.00 ,R$40.00 ,R$30.00 ,R$36.00 ,R$12.00 ,R$4.00 ,R$24.00 ,R$36.00 ,R$29.00 ,R$18.00 
36,20,Pneus,,,R$19.00 ,R$2.00 ,R$12.00 ,R$27.00 ,R$40.00 ,R$27.00 ,R$14.00 ,R$20.00 ,R$24.00 ,R$18.00 ,R$21.00 
37,100,Caixas,,,R$29.00 ,R$31.00 ,R$39.00 ,R$17.00 ,R$22.00 ,R$36.00 ,R$28.00 ,R$28.00 ,R$16.00 ,R$5.00 ,R$25.00 
38,200,Packs,,,R$34.00 ,R$8.00 ,R$7.00 ,R$33.00 ,R$27.00 ,R$1.00 ,R$37.00 ,R$34.00 ,R$37.00 ,R$19.00 ,R$32.00 
39,250,Litros,,,R$13.00 ,R$2.00 ,R$39.00 ,R$17.00 ,R$20.00 ,R$13.00 ,R$2.00 ,R$16.00 ,R$8.00 ,R$4.00 ,R$39.00 
40,150,Packs,,,R$24.00 ,R$30.00 ,R$8.00 ,R$32.00 ,R$17.00 ,R$24.00 ,R$11.00 ,R$26.00 ,R$39.00 ,R$9.00 ,R$35.00 
41,20,Pneus,,,R$21.00 ,R$12.00 ,R$8.00 ,R$22.00 ,R$18.00 ,R$25.00 ,R$31.00 ,R$24.00 ,R$11.00 ,R$36.00 ,R$24.00 
42,20,Pneus,,,R$23.00 ,R$7.00 ,R$28.00 ,R$8.00 ,R$28.00 ,R$20.00 ,R$18.00 ,R$28.00 ,R$27.00 ,R$7.00 ,R$10.00 
43,100,Caixas,,,R$38.00 ,R$28.00 ,R$24.00 ,R$16.00 ,R$23.00 ,R$22.00 ,R$12.00 ,R$25.00 ,R$21.00 ,R$34.00 ,R$25.00 
44,200,Packs,,,R$20.00 ,R$14.00 ,R$2.00 ,R$37.00 ,R$11.00 ,R$34.00 ,R$13.00 ,R$12.00 ,R$15.00 ,R$2.00 ,R$39.00 
45,250,Litros,,,R$22.00 ,R$12.00 ,R$27.00 ,R$11.00 ,R$21.00 ,R$9.00 ,R$11.00 ,R$5.00 ,R$31.00 ,R$27.00 ,R$11.00 
46,150,Packs,,,R$22.00 ,R$24.00 ,R$25.00 ,R$4.00 ,R$13.00 ,R$27.00 ,R$34.00 ,R$27.00 ,R$2.00 ,R$18.00 ,R$1.00 
47,20,Pneus,,,R$7.00 ,R$31.00 ,R$35.00 ,R$21.00 ,R$1.00 ,R$11.00 ,R$5.00 ,R$1.00 ,R$34.00 ,R$33.00 ,R$18.00 
48,20,Pneus,,,R$16.00 ,R$25.00 ,R$32.00 ,R$15.00 ,R$18.00 ,R$17.00 ,R$27.00 ,R$1.00 ,R$34.00 ,R$33.00 ,R$31.00 
49,100,Caixas,,,R$10.00 ,R$14.00 ,R$14.00 ,R$33.00 ,R$38.00 ,R$36.00 ,R$14.00 ,R$20.00 ,R$28.00 ,R$20.00 ,R$28.00 
50,200,Packs,,,R$2.00 ,R$13.00 ,R$1.00 ,R$19.00 ,R$24.00 ,R$11.00 ,R$30.00 ,R$36.00 ,R$25.00 ,R$34.00 ,R$3.00 
51,250,Litros,,,R$35.00 ,R$1.00 ,R$34.00 ,R$8.00 ,R$4.00 ,R$27.00 ,R$25.00 ,R$22.00 ,R$27.00 ,R$11.00 ,R$30.00 
52,150,Packs,,,R$14.00 ,R$13.00 ,R$25.00 ,R$18.00 ,R$2.00 ,R$35.00 ,R$8.00 ,R$35.00 ,R$3.00 ,R$40.00 ,R$15.00 
53,20,Pneus,,,R$18.00 ,R$8.00 ,R$2.00 ,R$28.00 ,R$16.00 ,R$31.00 ,R$23.00 ,R$8.00 ,R$28.00 ,R$28.00 ,R$31.00 
54,20,Pneus,,,R$38.00 ,R$36.00 ,R$15.00 ,R$23.00 ,R$28.00 ,R$3.00 ,R$6.00 ,R$20.00 ,R$33.00 ,R$1.00 ,R$19.00 
55,100,Caixas,,,R$16.00 ,R$27.00 ,R$4.00 ,R$30.00 ,R$22.00 ,R$13.00 ,R$23.00 ,R$9.00 ,R$13.00 ,R$35.00 ,R$24.00 
56,200,Packs,,,R$1.00 ,R$23.00 ,R$9.00 ,R$36.00 ,R$10.00 ,R$19.00 ,R$34.00 ,R$29.00 ,R$23.00 ,R$2.00 ,R$25.00 
57,250,Litros,,,R$5.00 ,R$37.00 ,R$1.00 ,R$25.00 ,R$21.00 ,R$34.00 ,R$30.00 ,R$18.00 ,R$20.00 ,R$4.00 ,R$23.00 
58,150,Packs,,,R$40.00 ,R$32.00 ,R$6.00 ,R$7.00 ,R$4.00 ,R$21.00 ,R$13.00 ,R$8.00 ,R$40.00 ,R$17.00 ,R$33.00 
59,20,Pneus,,,R$23.00 ,R$4.00 ,R$5.00 ,R$9.00 ,R$31.00 ,R$21.00 ,R$10.00 ,R$35.00 ,R$1.00 ,R$10.00 ,R$19.00 
60,20,Pneus,,,R$14.00 ,R$33.00 ,R$14.00 ,R$35.00 ,R$32.00 ,R$30.00 ,R$39.00 ,R$8.00 ,R$38.00 ,R$33.00 ,R$12.00 
61,100,Caixas,,,R$22.00 ,R$7.00 ,R$10.00 ,R$29.00 ,R$25.00 ,R$22.00 ,R$21.00 ,R$24.00 ,R$29.00 ,R$11.00 ,R$16.00 
62,200,Packs,,,R$24.00 ,R$39.00 ,R$3.00 ,R$9.00 ,R$8.00 ,R$5.00 ,R$31.00 ,R$40.00 ,R$14.00 ,R$39.00 ,R$21.00 
63,250,Litros,,,R$10.00 ,R$18.00 ,R$21.00 ,R$13.00 ,R$34.00 ,R$37.00 ,R$4.00 ,R$28.00 ,R$13.00 ,R$5.00 ,R$24.00 
64,150,Packs,,,R$27.00 ,R$15.00 ,R$31.00 ,R$2.00 ,R$5.00 ,R$35.00 ,R$27.00 ,R$5.00 ,R$36.00 ,R$17.00 ,R$40.00 
65,20,Pneus,,,R$39.00 ,R$9.00 ,R$19.00 ,R$33.00 ,R$22.00 ,R$3.00 ,R$13.00 ,R$16.00 ,R$38.00 ,R$1.00 ,R$6.00 
66,20,Pneus,,,R$19.00 ,R$24.00 ,R$3.00 ,R$8.00 ,R$32.00 ,R$14.00 ,R$19.00 ,R$27.00 ,R$21.00 ,R$31.00 ,R$16.00 
67,100,Caixas,,,R$2.00 ,R$33.00 ,R$3.00 ,R$17.00 ,R$26.00 ,R$6.00 ,R$11.00 ,R$3.00 ,R$24.00 ,R$38.00 ,R$19.00 
68,200,Packs,,,R$24.00 ,R$24.00 ,R$19.00 ,R$33.00 ,R$2.00 ,R$31.00 ,R$33.00 ,R$7.00 ,R$36.00 ,R$16.00 ,R$31.00 
69,250,Litros,,,R$5.00 ,R$26.00 ,R$31.00 ,R$22.00 ,R$35.00 ,R$11.00 ,R$22.00 ,R$34.00 ,R$15.00 ,R$25.00 ,R$38.00 
70,150,Packs,,,R$2.00 ,R$6.00 ,R$17.00 ,R$11.00 ,R$8.00 ,R$13.00 ,R$23.00 ,R$4.00 ,R$16.00 ,R$22.00 ,R$36.00 
71,20,Pneus,,,R$10.00 ,R$22.00 ,R$7.00 ,R$15.00 ,R$22.00 ,R$7.00 ,R$24.00 ,R$40.00 ,R$11.00 ,R$25.00 ,R$34.00 
72,20,Pneus,,,R$22.00 ,R$9.00 ,R$36.00 ,R$31.00 ,R$8.00 ,R$35.00 ,R$39.00 ,R$39.00 ,R$10.00 ,R$4.00 ,R$3.00 
73,100,Caixas,,,R$21.00 ,R$7.00 ,R$13.00 ,R$1.00 ,R$20.00 ,R$38.00 ,R$26.00 ,R$33.00 ,R$6.00 ,R$30.00 ,R$7.00 
74,200,Packs,,,R$27.00 ,R$10.00 ,R$11.00 ,R$29.00 ,R$5.00 ,R$1.00 ,R$4.00 ,R$1.00 ,R$6.00 ,R$35.00 ,R$23.00 
75,250,Litros,,,R$8.00 ,R$38.00 ,R$29.00 ,R$38.00 ,R$29.00 ,R$24.00 ,R$33.00 ,R$28.00 ,R$35.00 ,R$24.00 ,R$25.00 
76,150,Packs,,,R$28.00 ,R$21.00 ,R$21.00 ,R$38.00 ,R$19.00 ,R$28.00 ,R$36.00 ,R$5.00 ,R$5.00 ,R$23.00 ,R$25.00 
77,20,Pneus,,,R$12.00 ,R$8.00 ,R$11.00 ,R$40.00 ,R$36.00 ,R$21.00 ,R$15.00 ,R$24.00 ,R$22.00 ,R$24.00 ,R$11.00 
78,20,Pneus,,,R$22.00 ,R$15.00 ,R$28.00 ,R$37.00 ,R$29.00 ,R$8.00 ,R$16.00 ,R$4.00 ,R$35.00 ,R$4.00 ,R$38.00 
79,100,Caixas,,,R$26.00 ,R$6.00 ,R$4.00 ,R$39.00 ,R$28.00 ,R$31.00 ,R$24.00 ,R$26.00 ,R$2.00 ,R$26.00 ,R$27.00 
80,200,Packs,,,R$20.00 ,R$3.00 ,R$10.00 ,R$25.00 ,R$6.00 ,R$24.00 ,R$4.00 ,R$6.00 ,R$5.00 ,R$11.00 ,R$40.00 
81,250,Litros,,,R$31.00 ,R$6.00 ,R$36.00 ,R$4.00 ,R$3.00 ,R$1.00 ,R$17.00 ,R$37.00 ,R$29.00 ,R$28.00 ,R$35.00 
82,100,Caixas,,,R$37.00 ,R$21.00 ,R$4.00 ,R$11.00 ,R$7.00 ,R$24.00 ,R$5.00 ,R$20.00 ,R$29.00 ,R$14.00 ,R$14.00 
83,200,Packs,,,R$31.00 ,R$11.00 ,R$4.00 ,R$25.00 ,R$16.00 ,R$28.00 ,R$23.00 ,R$37.00 ,R$1.00 ,R$20.00 ,R$26.00 
84,250,Litros,,,R$15.00 ,R$30.00 ,R$33.00 ,R$21.00 ,R$37.00 ,R$12.00 ,R$10.00 ,R$18.00 ,R$32.00 ,R$1.00 ,R$34.00 
85,150,Packs,,,R$25.00 ,R$28.00 ,R$33.00 ,R$23.00 ,R$5.00 ,R$1.00 ,R$24.00 ,R$12.00 ,R$10.00 ,R$7.00 ,R$13.00 
86,20,Pneus,,,R$13.00 ,R$28.00 ,R$38.00 ,R$17.00 ,R$32.00 ,R$22.00 ,R$20.00 ,R$8.00 ,R$7.00 ,R$11.00 ,R$22.00 
87,100,Caixas,,,R$12.00 ,R$3.00 ,R$10.00 ,R$6.00 ,R$34.00 ,R$7.00 ,R$35.00 ,R$20.00 ,R$9.00 ,R$25.00 ,R$12.00 
88,200,Packs,,,R$6.00 ,R$38.00 ,R$30.00 ,R$16.00 ,R$6.00 ,R$17.00 ,R$17.00 ,R$23.00 ,R$7.00 ,R$29.00 ,R$3.00 
89,250,Litros,,,R$19.00 ,R$17.00 ,R$13.00 ,R$13.00 ,R$15.00 ,R$26.00 ,R$21.00 ,R$30.00 ,R$25.00 ,R$15.00 ,R$5.00 
90,150,Packs,,,R$11.00 ,R$8.00 ,R$37.00 ,R$24.00 ,R$28.00 ,R$15.00 ,R$3.00 ,R$32.00 ,R$27.00 ,R$12.00 ,R$29.00 
91,20,Pneus,,,R$4.00 ,R$36.00 ,R$6.00 ,R$29.00 ,R$27.00 ,R$11.00 ,R$32.00 ,R$31.00 ,R$8.00 ,R$6.00 ,R$29.00 
92,100,Caixas,,,R$18.00 ,R$20.00 ,R$28.00 ,R$9.00 ,R$11.00 ,R$1.00 ,R$37.00 ,R$10.00 ,R$1.00 ,R$16.00 ,R$38.00 
93,200,Packs,,,R$3.00 ,R$14.00 ,R$29.00 ,R$28.00 ,R$35.00 ,R$5.00 ,R$36.00 ,R$40.00 ,R$30.00 ,R$29.00 ,R$21.00 
94,250,Litros,,,R$15.00 ,R$26.00 ,R$17.00 ,R$39.00 ,R$30.00 ,R$18.00 ,R$34.00 ,R$11.00 ,R$36.00 ,R$36.00 ,R$32.00 
95,150,Packs,,,R$4.00 ,R$6.00 ,R$38.00 ,R$34.00 ,R$34.00 ,R$31.00 ,R$3.00 ,R$37.00 ,R$33.00 ,R$25.00 ,R$15.00 
96,20,Pneus,,,R$30.00 ,R$5.00 ,R$2.00 ,R$15.00 ,R$3.00 ,R$33.00 ,R$23.00 ,R$38.00 ,R$8.00 ,R$28.00 ,R$9.00 
97,100,Caixas,,,R$32.00 ,R$14.00 ,R$7.00 ,R$39.00 ,R$26.00 ,R$5.00 ,R$37.00 ,R$21.00 ,R$39.00 ,R$10.00 ,R$36.00 
98,200,Packs,,,R$22.00 ,R$3.00 ,R$37.00 ,R$29.00 ,R$28.00 ,R$37.00 ,R$40.00 ,R$35.00 ,R$16.00 ,R$21.00 ,R$40.00 
99,250,Litros,,,R$11.00 ,R$17.00 ,R$11.00 ,R$20.00 ,R$36.00 ,R$32.00 ,R$15.00 ,R$18.00 ,R$9.00 ,R$20.00 ,R$18.00 
100,150,Packs,,,R$28.00 ,R$20.00 ,R$40.00 ,R$27.00 ,R$9.00 ,R$39.00 ,R$35.00 ,R$25.00 ,R$24.00 ,R$29.00 ,R$37.00 
101,20,Pneus,,,R$28.00 ,R$39.00 ,R$6.00 ,R$35.00 ,R$32.00 ,R$18.00 ,R$23.00 ,R$22.00 ,R$34.00 ,R$31.00 ,R$18.00 
102,100,Caixas,,,R$36.00 ,R$11.00 ,R$20.00 ,R$28.00 ,R$18.00 ,R$13.00 ,R$17.00 ,R$4.00 ,R$37.00 ,R$30.00 ,R$4.00 
103,200,Packs,,,R$26.00 ,R$9.00 ,R$2.00 ,R$33.00 ,R$34.00 ,R$25.00 ,R$8.00 ,R$8.00 ,R$25.00 ,R$7.00 ,R$21.00 
104,250,Litros,,,R$1.00 ,R$6.00 ,R$37.00 ,R$26.00 ,R$33.00 ,R$16.00 ,R$10.00 ,R$6.00 ,R$20.00 ,R$24.00 ,R$2.00 
105,150,Packs,,,R$22.00 ,R$37.00 ,R$2.00 ,R$36.00 ,R$1.00 ,R$36.00 ,R$33.00 ,R$38.00 ,R$36.00 ,R$31.00 ,R$1.00 
106,20,Pneus,,,R$18.00 ,R$1.00 ,R$1.00 ,R$28.00 ,R$26.00 ,R$17.00 ,R$19.00 ,R$2.00 ,R$33.00 ,R$27.00 ,R$34.00 
107,100,Caixas,,,R$28.00 ,R$12.00 ,R$9.00 ,R$26.00 ,R$30.00 ,R$9.00 ,R$32.00 ,R$3.00 ,R$11.00 ,R$30.00 ,R$10.00 
108,200,Packs,,,R$21.00 ,R$16.00 ,R$6.00 ,R$15.00 ,R$4.00 ,R$8.00 ,R$4.00 ,R$38.00 ,R$1.00 ,R$38.00 ,R$4.00 
109,250,Litros,,,R$26.00 ,R$10.00 ,R$9.00 ,R$17.00 ,R$20.00 ,R$24.00 ,R$27.00 ,R$5.00 ,R$8.00 ,R$20.00 ,R$10.00 
110,150,Packs,,,R$20.00 ,R$12.00 ,R$22.00 ,R$26.00 ,R$19.00 ,R$2.00 ,R$29.00 ,R$33.00 ,R$35.00 ,R$29.00 ,R$15.00 
111,20,Pneus,,,R$37.00 ,R$37.00 ,R$2.00 ,R$33.00 ,R$18.00 ,R$21.00 ,R$28.00 ,R$30.00 ,R$2.00 ,R$6.00 ,R$12.00 
112,100,Caixas,,,R$7.00 ,R$31.00 ,R$30.00 ,R$13.00 ,R$8.00 ,R$6.00 ,R$21.00 ,R$40.00 ,R$4.00 ,R$13.00 ,R$32.00 
113,200,Packs,,,R$39.00 ,R$16.00 ,R$20.00 ,R$31.00 ,R$35.00 ,R$16.00 ,R$4.00 ,R$36.00 ,R$13.00 ,R$3.00 ,R$21.00 
114,250,Litros,,,R$27.00 ,R$33.00 ,R$29.00 ,R$21.00 ,R$32.00 ,R$18.00 ,R$27.00 ,R$10.00 ,R$2.00 ,R$16.00 ,R$9.00 
115,150,Packs,,,R$12.00 ,R$29.00 ,R$8.00 ,R$3.00 ,R$5.00 ,R$35.00 ,R$13.00 ,R$21.00 ,R$29.00 ,R$23.00 ,R$11.00 
116,20,Pneus,,,R$16.00 ,R$10.00 ,R$25.00 ,R$15.00 ,R$30.00 ,R$20.00 ,R$27.00 ,R$31.00 ,R$17.00 ,R$2.00 ,R$27.00 
117,20,Pneus,,,R$1.00 ,R$35.00 ,R$39.00 ,R$27.00 ,R$37.00 ,R$37.00 ,R$3.00 ,R$30.00 ,R$38.00 ,R$16.00 ,R$2.00 
118,100,Caixas,,,R$16.00 ,R$11.00 ,R$3.00 ,R$3.00 ,R$23.00 ,R$5.00 ,R$9.00 ,R$40.00 ,R$18.00 ,R$25.00 ,R$20.00 
119,200,Packs,,,R$30.00 ,R$23.00 ,R$4.00 ,R$39.00 ,R$8.00 ,R$15.00 ,R$10.00 ,R$30.00 ,R$28.00 ,R$19.00 ,R$26.00 
120,250,Litros,,,R$38.00 ,R$38.00 ,R$40.00 ,R$4.00 ,R$21.00 ,R$16.00 ,R$36.00 ,R$21.00 ,R$5.00 ,R$32.00 ,R$18.00 
121,150,Packs,,,R$11.00 ,R$19.00 ,R$22.00 ,R$38.00 ,R$1.00 ,R$38.00 ,R$24.00 ,R$6.00 ,R$39.00 ,R$6.00 ,R$15.00 
122,20,Pneus,,,R$26.00 ,R$17.00 ,R$17.00 ,R$4.00 ,R$24.00 ,R$2.00 ,R$3.00 ,R$34.00 ,R$5.00 ,R$38.00 ,R$32.00 
123,20,Pneus,,,R$6.00 ,R$34.00 ,R$3.00 ,R$30.00 ,R$37.00 ,R$31.00 ,R$26.00 ,R$32.00 ,R$19.00 ,R$31.00 ,R$39.00 
124,100,Caixas,,,R$6.00 ,R$23.00 ,R$5.00 ,R$16.00 ,R$14.00 ,R$30.00 ,R$36.00 ,R$28.00 ,R$38.00 ,R$13.00 ,R$31.00 
125,200,Packs,,,R$7.00 ,R$18.00 ,R$4.00 ,R$29.00 ,R$32.00 ,R$21.00 ,R$15.00 ,R$37.00 ,R$8.00 ,R$33.00 ,R$3.00 
126,250,Litros,,,R$26.00 ,R$15.00 ,R$34.00 ,R$27.00 ,R$34.00 ,R$11.00 ,R$4.00 ,R$27.00 ,R$37.00 ,R$35.00 ,R$6.00 
127,150,Packs,,,R$1.00 ,R$9.00 ,R$18.00 ,R$21.00 ,R$5.00 ,R$3.00 ,R$33.00 ,R$34.00 ,R$7.00 ,R$5.00 ,R$19.00 
128,20,Pneus,,,R$29.00 ,R$25.00 ,R$27.00 ,R$9.00 ,R$30.00 ,R$40.00 ,R$18.00 ,R$26.00 ,R$10.00 ,R$7.00 ,R$12.00 
